sample id;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;type
W725;7.8;0.3;0.4;1.8;0.028;23.0;122.0;0.9914;3.14;0.39;10.9;7;white
W726;6.4;0.39;0.21;1.2;0.041;35.0;136.0;0.99225;3.15;0.46;10.2;5;white
W727;6.4;0.24;0.31;2.8;0.038;41.0;114.0;0.99155;3.37;0.66;11.7;7;white
W728;7.0;0.21;0.34;8.0;0.057;19.0;101.0;0.9954;2.99;0.59;9.4;5;white
W729;6.4;0.16;0.31;5.3;0.043;42.0;157.0;0.99455;3.35;0.47;10.5;5;white
W730;6.0;0.33;0.27;0.8;0.185;12.0;188.0;0.9924;3.12;0.62;9.4;5;white
W731;6.5;0.23;0.33;13.8;0.042;25.0;139.0;0.99695;3.35;0.56;10.4;6;white
W732;6.2;0.25;0.48;10.0;0.044;78.0;240.0;0.99655;3.25;0.47;9.5;6;white
W733;8.8;0.28;0.45;6.0;0.022;14.0;49.0;0.9934;3.01;0.33;11.1;7;white
W734;6.6;0.25;0.3;14.4;0.052;40.0;183.0;0.998;3.02;0.5;9.1;6;white
W735;6.9;0.38;0.25;9.8;0.04;28.0;191.0;0.9971;3.28;0.61;9.2;5;white
W736;6.4;0.25;0.3;5.5;0.038;15.0;129.0;0.9948;3.14;0.49;9.6;6;white
W737;6.6;0.25;0.3;14.4;0.052;40.0;183.0;0.998;3.02;0.5;9.1;6;white
W738;6.9;0.38;0.25;9.8;0.04;28.0;191.0;0.9971;3.28;0.61;9.2;5;white
W739;7.1;0.21;0.31;3.8;0.021;40.0;142.0;0.99215;3.17;0.39;10.8;7;white
W740;6.4;0.25;0.3;5.5;0.038;15.0;129.0;0.9948;3.14;0.49;9.6;6;white
W741;6.9;0.39;0.4;4.6;0.022;5.0;19.0;0.9915;3.31;0.37;12.6;3;white
W742;5.8;0.2;0.3;1.5;0.031;21.0;57.0;0.99115;3.44;0.55;11.0;6;white
W743;7.0;0.2;0.37;2.0;0.03;26.0;136.0;0.9932;3.28;0.61;10.2;6;white
W744;5.9;0.26;0.25;12.5;0.034;38.0;152.0;0.9977;3.33;0.43;9.4;5;white
W744;5.9;0.26;0.25;12.5;0.034;38.0;152.0;0.9977;3.33;0.43;9.4;5;white
W745;7.4;0.38;0.27;7.5;0.041;24.0;160.0;0.99535;3.17;0.43;10.0;5;white
W746;7.4;0.2;1.66;2.1;0.022;34.0;113.0;0.99165;3.26;0.55;12.2;6;white
W747;7.0;0.21;0.34;8.5;0.033;31.0;253.0;0.9953;3.22;0.56;10.5;6;white
W748;7.2;0.29;0.4;7.6;0.024;56.0;177.0;0.9928;3.04;0.32;11.5;6;white
W749;6.9;0.18;0.38;8.1;0.049;44.0;176.0;0.9958;3.3;0.54;9.8;6;white
W750;7.3;0.3;0.42;7.35;0.025;51.0;175.0;0.9928;3.04;0.32;11.4;6;white
W751;7.2;0.29;0.4;7.6;0.024;56.0;177.0;0.9928;3.04;0.32;11.5;6;white
W752;6.9;0.2;0.5;10.0;0.036;78.0;167.0;0.9964;3.15;0.55;10.2;6;white
W753;6.7;0.2;0.42;14.0;0.038;83.0;160.0;0.9987;3.16;0.5;9.4;6;white
W754;7.0;0.21;0.34;8.5;0.033;31.0;253.0;0.9953;3.22;0.56;10.5;6;white
W755;5.9;0.35;0.47;2.2;0.11;14.0;138.0;0.9932;3.09;0.5;9.1;5;white
W756;7.1;0.28;0.44;1.8;0.032;32.0;107.0;0.9907;3.25;0.48;12.2;7;white
W757;5.8;0.25;0.28;11.1;0.056;45.0;175.0;0.99755;3.42;0.43;9.5;5;white
W758;6.8;0.22;0.37;15.2;0.051;68.0;178.0;0.99935;3.4;0.85;9.3;6;white
W759;7.1;0.14;0.4;1.2;0.051;55.0;136.0;0.9932;3.3;0.96;9.8;7;white
W760;7.1;0.13;0.4;1.2;0.047;54.0;134.0;0.9932;3.3;0.97;9.8;7;white
W761;6.9;0.18;0.38;8.1;0.049;44.0;176.0;0.9958;3.3;0.54;9.8;6;white
W762;7.0;0.2;0.38;8.1;0.05;42.0;173.0;0.99585;3.3;0.54;9.8;6;white
W763;6.8;0.24;0.49;19.3;0.057;55.0;247.0;1.00055;3.0;0.56;8.7;5;white
W764;5.0;0.44;0.04;18.6;0.039;38.0;128.0;0.9985;3.37;0.57;10.2;6;white
W765;6.3;0.3;0.28;5.0;0.042;36.0;168.0;0.99505;3.22;0.69;9.5;6;white
W766;7.2;0.27;0.42;1.6;0.05;35.0;135.0;0.992;2.94;0.46;11.0;6;white
W767;6.7;0.5;0.63;13.4;0.078;81.0;238.0;0.9988;3.08;0.44;9.2;5;white
W768;6.8;0.2;0.36;1.6;0.028;7.0;46.0;0.99175;3.21;0.6;10.9;6;white
W769;6.7;0.11;0.34;8.8;0.043;41.0;113.0;0.9962;3.42;0.4;9.3;7;white
W770;6.7;0.11;0.34;8.8;0.043;41.0;113.0;0.9962;3.42;0.4;9.3;7;white
W771;6.8;0.12;0.31;5.2;0.045;29.0;120.0;0.9942;3.41;0.46;9.8;7;white
W772;6.6;0.16;0.57;1.1;0.13;58.0;140.0;0.9927;3.12;0.39;9.3;7;white
W773;6.6;0.21;0.6;1.1;0.135;61.0;144.0;0.9927;3.12;0.39;9.3;7;white
W774;6.1;0.27;0.3;16.7;0.039;49.0;172.0;0.99985;3.4;0.45;9.4;5;white
W775;9.1;0.27;0.45;10.6;0.035;28.0;124.0;0.997;3.2;0.46;10.4;9;white
W776;6.4;0.225;0.48;2.2;0.115;29.0;104.0;0.9918;3.24;0.58;12.1;6;white
W777;8.3;0.14;0.45;1.5;0.039;18.0;98.0;0.99215;3.02;0.56;11.0;6;white
W778;7.2;0.23;0.19;13.7;0.052;47.0;197.0;0.99865;3.12;0.53;9.0;5;white
W779;6.9;0.22;0.37;15.0;0.053;59.0;178.0;0.9992;3.37;0.82;9.5;7;white
W780;8.1;0.17;0.44;14.1;0.053;43.0;145.0;1.0006;3.28;0.75;8.8;8;white
W781;6.0;0.395;0.0;1.4;0.042;7.0;55.0;0.99135;3.37;0.38;11.2;4;white
W782;7.8;0.29;0.22;9.5;0.056;44.0;213.0;0.99715;3.08;0.61;9.3;6;white
W783;6.9;0.22;0.37;15.0;0.053;59.0;178.0;0.9992;3.37;0.82;9.5;7;white
W784;8.1;0.17;0.44;14.1;0.053;43.0;145.0;1.0006;3.28;0.75;8.8;8;white
W785;7.2;0.23;0.19;13.7;0.052;47.0;197.0;0.99865;3.12;0.53;9.0;5;white
W786;7.6;0.3;0.27;10.6;0.039;31.0;119.0;0.99815;3.27;0.3;9.3;6;white
W787;7.7;0.34;0.28;11.0;0.04;31.0;117.0;0.99815;3.27;0.29;9.2;6;white
W788;7.7;0.34;0.28;11.0;0.04;31.0;117.0;0.99815;3.27;0.29;9.2;6;white
W789;5.8;0.34;0.16;7.0;0.037;26.0;116.0;0.9949;3.46;0.45;10.0;7;white
W790;7.6;0.3;0.27;10.6;0.039;31.0;119.0;0.99815;3.27;0.3;9.3;6;white
W791;7.7;0.34;0.28;11.0;0.04;31.0;117.0;0.99815;3.27;0.29;9.2;6;white
W792;5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7;white
W793;6.4;0.46;0.08;4.9;0.046;34.0;144.0;0.99445;3.1;0.56;10.0;5;white
W794;5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7;white
W795;7.4;0.32;0.27;1.4;0.049;38.0;173.0;0.99335;3.03;0.52;9.3;5;white
W796;7.2;0.31;0.26;7.3;0.05;37.0;157.0;0.99625;3.09;0.43;9.0;5;white
W797;7.8;0.42;0.23;8.8;0.054;42.0;215.0;0.9971;3.02;0.58;9.2;6;white
W798;6.9;0.24;0.33;12.5;0.046;47.0;153.0;0.9983;3.28;0.77;9.6;6;white
W799;5.4;0.18;0.24;4.8;0.041;30.0;113.0;0.99445;3.42;0.4;9.4;6;white
W800;6.0;0.18;0.31;1.4;0.036;14.0;75.0;0.99085;3.34;0.58;11.1;8;white
W801;7.8;0.27;0.58;11.2;0.036;44.0;161.0;0.9977;3.06;0.41;8.9;6;white
W802;6.0;0.28;0.49;6.8;0.048;61.0;222.0;0.9953;3.19;0.47;9.3;5;white
W803;6.8;0.39;0.35;11.6;0.044;57.0;220.0;0.99775;3.07;0.53;9.3;5;white
W804;6.6;0.21;0.31;11.4;0.039;46.0;165.0;0.99795;3.41;0.44;9.8;7;white
W805;7.3;0.32;0.34;6.6;0.032;24.0;112.0;0.99505;3.22;0.46;9.8;6;white
W806;7.8;0.27;0.58;11.2;0.036;44.0;161.0;0.9977;3.06;0.41;8.9;6;white
W807;6.4;0.31;0.26;13.2;0.046;57.0;205.0;0.9975;3.17;0.41;9.6;5;white
W808;6.2;0.29;0.26;13.1;0.046;55.0;204.0;0.99745;3.16;0.41;9.6;6;white
W809;6.0;0.39;0.17;12.0;0.046;65.0;246.0;0.9976;3.15;0.38;9.0;6;white
W810;6.2;0.3;0.26;13.4;0.046;57.0;206.0;0.99775;3.17;0.43;9.5;6;white
W811;6.0;0.28;0.49;6.8;0.048;61.0;222.0;0.9953;3.19;0.47;9.3;5;white
W812;6.0;0.41;0.05;1.5;0.063;17.0;120.0;0.9932;3.21;0.56;9.2;6;white
W813;6.4;0.35;0.28;1.1;0.055;9.0;160.0;0.99405;3.42;0.5;9.1;7;white
W814;6.5;0.26;0.32;16.5;0.045;44.0;166.0;1.0;3.38;0.46;9.5;6;white
W815;7.9;0.35;0.24;15.6;0.072;44.0;229.0;0.99785;3.03;0.59;10.5;6;white
W816;6.2;0.3;0.17;2.8;0.04;24.0;125.0;0.9939;3.01;0.46;9.0;5;white
W817;8.4;0.18;0.42;5.1;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5;white
W818;6.6;0.56;0.22;8.9;0.034;27.0;133.0;0.99675;3.2;0.51;9.1;5;white
W819;6.2;0.3;0.17;2.8;0.04;24.0;125.0;0.9939;3.01;0.46;9.0;5;white
W820;6.6;0.56;0.22;8.9;0.034;27.0;133.0;0.99675;3.2;0.51;9.1;5;white
W821;6.6;0.36;0.29;1.6;0.021;24.0;85.0;0.98965;3.41;0.61;12.4;9;white
W822;7.3;0.655;0.2;10.2;0.071;28.0;212.0;0.9971;2.96;0.58;9.2;6;white
W823;6.8;0.18;0.21;5.4;0.053;34.0;104.0;0.99445;3.3;0.43;9.4;5;white
W824;6.7;0.19;0.23;6.2;0.047;36.0;117.0;0.9945;3.34;0.43;9.6;6;white
W825;8.4;0.18;0.42;5.1;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5;white
W826;7.0;0.21;0.37;7.2;0.042;36.0;167.0;0.9958;3.26;0.56;9.8;6;white
W827;6.8;0.25;0.38;8.1;0.046;24.0;155.0;0.9956;3.33;0.59;10.2;6;white
W828;7.4;0.24;0.36;2.0;0.031;27.0;139.0;0.99055;3.28;0.48;12.5;9;white
W829;7.1;0.16;0.36;10.7;0.044;20.0;90.0;0.9959;3.16;0.44;10.9;7;white
W830;7.1;0.16;0.36;1.2;0.043;21.0;90.0;0.9925;3.16;0.42;11.0;7;white
W831;7.3;0.205;0.31;1.7;0.06;34.0;110.0;0.9963;3.72;0.69;10.5;6;white
W832;7.4;0.17;0.4;5.5;0.037;34.0;161.0;0.9935;3.05;0.62;11.5;4;white
W833;7.3;0.3;0.34;2.7;0.044;34.0;108.0;0.99105;3.36;0.53;12.8;8;white
W834;6.9;0.25;0.34;1.3;0.035;27.0;82.0;0.99045;3.18;0.44;12.2;6;white
W835;7.3;0.205;0.31;1.7;0.06;34.0;110.0;0.9963;3.72;0.69;10.5;6;white
W836;7.5;0.42;0.34;4.3;0.04;34.0;108.0;0.99155;3.14;0.45;12.8;8;white
W837;7.3;0.25;0.36;2.1;0.034;30.0;177.0;0.99085;3.25;0.4;11.9;8;white
W838;7.3;0.25;0.36;2.1;0.034;30.0;177.0;0.99085;3.25;0.4;11.9;8;white
W839;7.3;0.25;0.36;2.1;0.034;30.0;177.0;0.99085;3.25;0.4;11.9;8;white
W840;7.5;0.34;0.35;6.0;0.034;12.0;126.0;0.9924;3.16;0.39;12.0;7;white
W841;7.6;0.33;0.35;6.3;0.036;12.0;126.0;0.9924;3.16;0.39;12.0;7;white
W842;8.7;0.23;0.32;13.4;0.044;35.0;169.0;0.99975;3.12;0.47;8.8;7;white
W843;8.7;0.23;0.32;13.4;0.044;35.0;169.0;0.99975;3.12;0.47;8.8;7;white
W844;6.9;0.19;0.35;1.7;0.036;33.0;101.0;0.99315;3.21;0.54;10.8;7;white
W845;7.3;0.21;0.29;1.6;0.034;29.0;118.0;0.9917;3.3;0.5;11.0;8;white
W846;7.3;0.21;0.29;1.6;0.034;29.0;118.0;0.9917;3.3;0.5;11.0;8;white
W847;6.6;0.22;0.37;15.4;0.035;62.0;153.0;0.99845;3.02;0.4;9.3;5;white
W848;9.2;0.34;0.27;1.2;0.026;17.0;73.0;0.9921;3.08;0.39;10.8;5;white
W849;8.7;0.23;0.32;13.4;0.044;35.0;169.0;0.99975;3.12;0.47;8.8;7;white
W850;6.0;0.2;0.24;1.8;0.03;30.0;105.0;0.9909;3.31;0.47;11.5;6;white
W851;6.9;0.19;0.35;1.7;0.036;33.0;101.0;0.99315;3.21;0.54;10.8;7;white
W852;8.2;0.38;0.49;13.6;0.042;58.0;166.0;0.99855;3.1;0.54;9.4;5;white
W853;6.9;0.18;0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7;white
W854;7.7;0.34;0.58;11.1;0.039;41.0;151.0;0.9978;3.06;0.49;8.6;5;white
W855;6.9;0.18;0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7;white
W856;7.4;0.2;0.35;2.1;0.038;30.0;116.0;0.9949;3.49;0.77;10.3;7;white
W857;8.2;0.38;0.49;13.6;0.042;58.0;166.0;0.99855;3.1;0.54;9.4;5;white
W858;8.2;0.4;0.48;13.7;0.042;59.0;169.0;0.9986;3.1;0.52;9.4;5;white
W859;6.7;0.22;0.39;10.2;0.038;60.0;149.0;0.99725;3.17;0.54;10.0;7;white
W860;6.6;0.3;0.3;4.8;0.17;60.0;166.0;0.9946;3.18;0.47;9.4;5;white
W861;8.1;0.27;0.35;1.7;0.03;38.0;103.0;0.99255;3.22;0.63;10.4;8;white
W862;7.3;0.25;0.42;14.2;0.041;57.0;182.0;0.9996;3.29;0.75;9.1;7;white
W863;4.8;0.34;0.0;6.5;0.028;33.0;163.0;0.9939;3.36;0.61;9.9;6;white
W864;6.2;0.28;0.33;1.7;0.029;24.0;111.0;0.99;3.24;0.5;12.1;6;white
W865;4.8;0.33;0.0;6.5;0.028;34.0;163.0;0.9937;3.35;0.61;9.9;5;white
W866;6.1;0.27;0.33;2.2;0.021;26.0;117.0;0.9886;3.12;0.3;12.5;6;white
W867;6.9;0.18;0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7;white
W868;7.8;0.18;0.46;12.6;0.042;41.0;143.0;1.0;3.24;0.76;8.5;8;white
W869;7.3;0.28;0.42;14.4;0.04;49.0;173.0;0.9994;3.28;0.82;9.0;7;white
W870;7.3;0.24;0.29;1.2;0.037;37.0;97.0;0.9926;3.19;0.7;10.1;6;white
W871;6.0;0.45;0.65;9.7;0.08;11.0;159.0;0.9956;3.04;0.48;9.4;5;white
W872;7.7;0.34;0.58;11.1;0.039;41.0;151.0;0.9978;3.06;0.49;8.6;5;white
W873;6.3;0.26;0.21;4.0;0.03;24.0;125.0;0.9915;3.06;0.34;10.7;6;white
W874;10.3;0.17;0.47;1.4;0.037;5.0;33.0;0.9939;2.89;0.28;9.6;3;white
W875;7.7;0.15;0.29;1.3;0.029;10.0;64.0;0.9932;3.35;0.39;10.1;5;white
W876;7.1;0.21;0.32;2.2;0.037;28.0;141.0;0.993;3.2;0.57;10.0;7;white
W877;6.9;0.36;0.34;4.2;0.018;57.0;119.0;0.9898;3.28;0.36;12.7;9;white
W878;6.0;0.28;0.34;1.6;0.119;33.0;104.0;0.9921;3.19;0.38;10.2;6;white
W879;6.2;0.16;0.54;1.4;0.126;37.0;110.0;0.9932;3.23;0.37;8.9;6;white
W880;6.9;0.12;0.36;2.2;0.037;18.0;111.0;0.9919;3.41;0.82;11.9;8;white
W881;7.1;0.21;0.32;2.2;0.037;28.0;141.0;0.993;3.2;0.57;10.0;7;white
W882;8.8;0.36;0.44;1.9;0.04;9.0;121.0;0.9953;3.19;0.48;9.9;6;white
W883;7.4;0.26;0.43;6.0;0.022;22.0;125.0;0.9928;3.13;0.55;11.5;6;white
W884;7.4;0.26;0.43;6.0;0.022;22.0;125.0;0.9928;3.13;0.55;11.5;6;white
W885;6.8;0.23;0.29;12.2;0.035;38.0;236.0;0.9976;3.35;0.52;9.8;6;white
W886;6.1;0.34;0.27;2.6;0.024;20.0;105.0;0.9906;3.4;0.67;12.2;7;white
W887;7.3;0.26;0.31;1.6;0.04;39.0;173.0;0.9918;3.19;0.51;11.4;6;white
W888;6.5;0.3;0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;7;white
W889;7.3;0.26;0.31;1.6;0.04;39.0;173.0;0.9918;3.19;0.51;11.4;6;white
W890;6.5;0.3;0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;7;white
W891;5.0;0.31;0.0;6.4;0.046;43.0;166.0;0.994;3.3;0.63;9.9;6;white
W892;5.8;0.26;0.18;1.2;0.031;40.0;114.0;0.9908;3.42;0.4;11.0;7;white
W893;5.9;0.26;0.3;1.0;0.036;38.0;114.0;0.9928;3.58;0.48;9.4;5;white
W894;7.0;0.31;0.29;1.4;0.037;33.0;128.0;0.9896;3.12;0.36;12.2;7;white
W895;5.8;0.26;0.18;1.2;0.031;40.0;114.0;0.9908;3.42;0.4;11.0;7;white
W896;5.6;0.19;0.39;1.1;0.043;17.0;67.0;0.9918;3.23;0.53;10.3;6;white
W897;6.8;0.18;0.28;8.7;0.047;52.0;242.0;0.9952;3.22;0.53;10.5;6;white
W898;7.0;0.29;0.26;1.6;0.044;12.0;87.0;0.9923;3.08;0.46;10.5;6;white
W899;6.6;0.26;0.29;1.4;0.039;13.0;67.0;0.9915;3.05;0.49;10.9;6;white
W900;6.8;0.18;0.28;8.5;0.047;52.0;242.0;0.9952;3.22;0.53;10.5;6;white
W901;6.6;0.2;0.38;7.9;0.052;30.0;145.0;0.9947;3.32;0.56;11.0;7;white
W902;8.0;0.29;0.29;13.2;0.046;26.0;113.0;0.9983;3.25;0.37;9.7;6;white
W903;6.1;0.28;0.35;12.8;0.048;63.0;229.0;0.9975;3.08;0.4;8.9;5;white
W904;5.9;0.31;0.3;7.7;0.047;60.0;206.0;0.995;3.2;0.39;9.6;6;white
W905;6.9;0.21;0.28;2.4;0.056;49.0;159.0;0.9944;3.02;0.47;8.8;8;white
W906;8.4;0.19;0.42;1.6;0.047;9.0;101.0;0.994;3.06;0.65;11.1;4;white
W907;8.3;0.27;0.45;1.3;0.048;8.0;72.0;0.9944;3.08;0.61;10.3;4;white
W908;7.1;0.25;0.39;2.1;0.036;30.0;124.0;0.9908;3.28;0.43;12.2;8;white
W909;8.0;0.23;0.37;9.6;0.054;23.0;159.0;0.99795;3.32;0.47;9.8;4;white
W910;7.5;0.24;0.31;13.0;0.049;46.0;217.0;0.9985;3.08;0.53;8.8;5;white
W911;6.3;0.33;0.2;5.8;0.04;24.0;144.0;0.99425;3.15;0.63;9.9;5;white
W912;6.2;0.33;0.19;5.6;0.042;22.0;143.0;0.99425;3.15;0.63;9.9;5;white
W913;6.3;0.34;0.19;5.8;0.041;22.0;145.0;0.9943;3.15;0.63;9.9;5;white
W914;5.8;0.29;0.05;0.8;0.038;11.0;30.0;0.9924;3.36;0.35;9.2;5;white
W915;8.0;0.32;0.26;1.2;0.05;11.5;88.0;0.9946;3.24;0.37;9.5;4;white
W916;5.6;0.29;0.05;0.8;0.038;11.0;30.0;0.9924;3.36;0.35;9.2;5;white
W917;7.4;0.13;0.39;4.7;0.042;36.0;137.0;0.995;3.36;0.56;10.3;7;white
W918;7.7;0.3;0.32;1.6;0.037;23.0;124.0;0.9919;2.93;0.33;11.0;6;white
W919;7.0;0.24;0.34;1.4;0.031;27.0;107.0;0.99;3.06;0.39;11.9;6;white
W920;8.6;0.18;0.4;1.1;0.04;20.0;107.0;0.9923;2.94;0.32;10.2;7;white
W921;7.0;0.11;0.32;4.6;0.057;59.0;144.0;0.9956;3.55;0.44;9.4;7;white
W922;7.7;0.32;0.62;10.6;0.036;56.0;153.0;0.9978;3.13;0.44;8.9;6;white
W923;7.7;0.32;0.62;10.6;0.036;56.0;153.0;0.9978;3.13;0.44;8.9;6;white
W924;6.5;0.26;0.27;12.9;0.044;69.0;215.0;0.9967;3.17;0.43;10.0;6;white
W925;7.9;0.28;0.41;2.0;0.044;50.0;152.0;0.9934;3.45;0.49;10.7;8;white
W926;6.3;0.27;0.23;2.9;0.047;13.0;100.0;0.9936;3.28;0.43;9.8;5;white
W927;5.4;0.595;0.1;2.8;0.042;26.0;80.0;0.9932;3.36;0.38;9.3;5;white
W928;6.7;0.25;0.33;2.9;0.057;52.0;173.0;0.9934;3.02;0.48;9.5;7;white
W929;6.5;0.25;0.35;12.0;0.055;47.0;179.0;0.998;3.58;0.47;10.0;5;white
W930;6.1;0.36;0.58;15.0;0.044;42.0;115.0;0.9978;3.15;0.51;9.0;5;white
W931;7.7;0.17;0.52;5.9;0.017;21.0;84.0;0.9929;3.14;0.4;11.9;7;white
W932;6.4;0.26;0.43;12.6;0.033;64.0;230.0;0.9974;3.08;0.38;8.9;5;white
W933;6.5;0.26;0.28;12.5;0.046;80.0;225.0;0.99685;3.18;0.41;10.0;6;white
W934;5.9;0.29;0.33;7.4;0.037;58.0;205.0;0.99495;3.26;0.41;9.6;5;white
W935;6.2;0.28;0.43;13.0;0.039;64.0;233.0;0.99745;3.08;0.38;8.9;5;white
W936;6.1;0.27;0.44;6.7;0.041;61.0;230.0;0.99505;3.12;0.4;8.9;5;white
W937;6.4;0.43;0.32;1.4;0.048;10.0;67.0;0.992;3.08;0.41;11.4;5;white
W938;6.1;0.36;0.58;15.0;0.044;42.0;115.0;0.9978;3.15;0.51;9.0;5;white
W939;6.2;0.35;0.29;7.3;0.044;56.0;244.0;0.9956;3.36;0.55;10.0;6;white
W940;7.7;0.24;0.29;15.3;0.044;39.0;194.0;0.9982;3.06;0.47;9.6;7;white
W941;6.2;0.34;0.28;7.5;0.034;40.0;197.0;0.99485;3.14;0.6;9.7;5;white
W942;6.3;0.27;0.46;11.75;0.037;61.0;212.0;0.9971;3.25;0.53;9.5;6;white
W943;5.4;0.415;0.19;1.6;0.039;27.0;88.0;0.99265;3.54;0.41;10.0;7;white
W944;6.9;0.48;0.36;3.5;0.03;31.0;135.0;0.9904;3.14;0.38;12.2;7;white
W945;6.5;0.18;0.33;8.0;0.051;16.0;131.0;0.9965;3.28;0.44;8.7;7;white
W946;6.7;0.15;0.29;5.0;0.058;28.0;105.0;0.9946;3.52;0.44;10.2;7;white
W947;8.2;0.345;1.0;18.2;0.047;55.0;205.0;0.99965;2.96;0.43;9.6;5;white
W948;8.5;0.16;0.35;1.6;0.039;24.0;147.0;0.9935;2.96;0.36;10.0;5;white
W949;6.8;0.705;0.25;3.2;0.048;10.0;57.0;0.996;3.36;0.52;9.5;4;white
W950;7.3;0.25;0.39;6.4;0.034;8.0;84.0;0.9942;3.18;0.46;11.5;5;white
W951;7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5;white
W952;7.6;0.22;0.34;9.7;0.035;26.0;143.0;0.9965;3.08;0.49;9.8;6;white
W953;6.5;0.17;0.33;1.4;0.028;14.0;99.0;0.9928;3.23;0.55;10.1;6;white
W954;8.2;0.23;0.37;1.3;0.042;39.0;117.0;0.9928;2.99;0.36;10.0;5;white
W955;7.6;0.22;0.34;9.7;0.035;26.0;143.0;0.9965;3.08;0.49;9.8;6;white
W956;7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5;white
W957;7.5;0.32;0.26;1.8;0.042;13.0;133.0;0.9938;3.07;0.38;9.5;5;white
W958;6.6;0.23;0.32;0.9;0.041;25.0;79.0;0.9926;3.39;0.54;10.2;7;white
W959;6.6;0.2;0.32;1.1;0.039;25.0;78.0;0.9926;3.39;0.54;10.2;7;white
W960;7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6;white
W961;7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6;white
W962;8.0;0.42;0.36;5.0;0.037;34.0;101.0;0.992;3.13;0.57;12.3;7;white
W963;7.3;0.24;0.34;15.4;0.05;38.0;174.0;0.9983;3.03;0.42;9.0;6;white
W964;6.1;0.19;0.25;4.0;0.023;23.0;112.0;0.9923;3.37;0.51;11.6;6;white
W965;5.9;0.26;0.21;12.5;0.034;36.0;152.0;0.9972;3.28;0.43;9.5;6;white
W966;8.3;0.23;0.43;3.2;0.035;14.0;101.0;0.9928;3.15;0.36;11.5;5;white
W967;6.5;0.34;0.28;1.8;0.041;43.0;188.0;0.9928;3.13;0.37;9.6;6;white
W968;6.8;0.22;0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6;white
W969;6.5;0.08;0.33;1.9;0.028;23.0;93.0;0.991;3.34;0.7;12.0;7;white
W970;5.5;0.42;0.09;1.6;0.019;18.0;68.0;0.9906;3.33;0.51;11.4;7;white
W971;5.1;0.42;0.01;1.5;0.017;25.0;102.0;0.9894;3.38;0.36;12.3;7;white
W972;6.0;0.27;0.19;1.7;0.02;24.0;110.0;0.9898;3.32;0.47;12.6;7;white
W973;6.8;0.22;0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6;white
W974;6.5;0.08;0.33;1.9;0.028;23.0;93.0;0.991;3.34;0.7;12.0;7;white
W975;7.1;0.13;0.38;1.8;0.046;14.0;114.0;0.9925;3.32;0.9;11.7;6;white
W976;7.6;0.3;0.25;4.3;0.054;22.0;111.0;0.9956;3.12;0.49;9.2;5;white
W977;6.6;0.13;0.3;4.9;0.058;47.0;131.0;0.9946;3.51;0.45;10.3;6;white
W978;6.5;0.14;0.33;7.6;0.05;53.0;189.0;0.9966;3.25;0.49;8.6;5;white
W979;7.7;0.28;0.33;6.7;0.037;32.0;155.0;0.9951;3.39;0.62;10.7;7;white
W980;6.0;0.2;0.71;1.6;0.15;10.0;54.0;0.9927;3.12;0.47;9.8;5;white
W981;6.0;0.19;0.71;1.5;0.152;9.0;55.0;0.9927;3.12;0.46;9.8;6;white
W982;7.7;0.28;0.33;6.7;0.037;32.0;155.0;0.9951;3.39;0.62;10.7;7;white
W983;5.1;0.39;0.21;1.7;0.027;15.0;72.0;0.9894;3.5;0.45;12.5;6;white
W984;5.7;0.36;0.34;4.2;0.026;21.0;77.0;0.9907;3.41;0.45;11.9;6;white
W985;6.9;0.19;0.33;1.6;0.043;63.0;149.0;0.9925;3.44;0.52;10.8;5;white
W986;6.0;0.41;0.21;1.9;0.05;29.0;122.0;0.9928;3.42;0.52;10.5;6;white
W987;7.4;0.28;0.3;5.3;0.054;44.0;161.0;0.9941;3.12;0.48;10.3;6;white
W988;7.4;0.3;0.3;5.2;0.053;45.0;163.0;0.9941;3.12;0.45;10.3;6;white
W989;6.9;0.19;0.33;1.6;0.043;63.0;149.0;0.9925;3.44;0.52;10.8;5;white
W990;7.7;0.28;0.39;8.9;0.036;8.0;117.0;0.9935;3.06;0.38;12.0;7;white
W991;8.6;0.16;0.38;3.4;0.04;41.0;143.0;0.9932;2.95;0.39;10.2;6;white
